Premise Name,Premise No,Type,TPIN,Physical Address,Street,PSU No,Category,District,Region
MILDMAY UGANDA,NDA/PRE/RTP/6296,Retail Pharmacy,\N,Within Mildmay (U) Ltd Lweza Hill,Entebbe Road,586,Human,Wakiso,Kampala Extra - Akamwesi
MUZADE MEDICAL SERVICES LIMITED,NDA/PRE/RTP/6305,Retail Pharmacy,\N,NEXT TO HASS PETROL STATTION,JINJA ROAD,1322,Human,Busia,Eastern Region - Tororo
RHODUM PHARMACY LTD,NDA/PRE/RTP/6321,Retail Pharmacy,\N,KASUBI T/C,OPP. PETRO CITY HOIMA RD,1553,Human,Kampala,Kampala Extra - Akamwesi
STAR ANISE CO. LTD,NDA/PRE/RTP/6322,Retail Pharmacy,\N,BUKERERE GOMA DIVISION,MUGWANYA RD,379,Human,Mukono,South Eastern Region - Jinja
ULTIMUS CHEMISTS LTD,NDA/PRE/RTP/6325,Retail Pharmacy,\N,Kasubi trading Center- Bweyogerere,Ibrahim Road,1899,Human,Wakiso,Kampala Extra - Akamwesi
SSEMPHARMA (U) - SMC LTD,NDA/PRE/RTP/6368,Retail Pharmacy,\N,"MBALWA T/C, ON DR.DAN BYARUHANGA BUILDING",OPP. MBALWA MARKET,947,Human,Wakiso,Kampala Extra - Akamwesi
ABK BAZIRA PHARMACEUTICALS LIMITED,NDA/PRE/RTP/6373,Retail Pharmacy,\N,OPP. LWEZA CLAYS,ENTEBBE ROAD,614,Human,Wakiso,Kampala Extra - Akamwesi
TOORO CITY PHARMACEUTICALS LTD,NDA/PRE/RTP/6374,Retail Pharmacy,\N,"OPP. TAXI PARK, KYANJOJO T.C",FORT PORTAL RD,1401,Human,Kyenjojo,Western Region - Hoima
Kasusu Pharmaceuticals Limited,NDA/PRE/RTP/6377,Retail Pharmacy,\N,"KASUSU T/C, CENTRAL DIVISION",KASESE RD,1999,Human,Fort Portal,Western Region - Hoima
IKISA CO LTD,NDA/PRE/RTP/6381,Retail Pharmacy,\N,"NANSANA T/C, SEKITOLEKO LEO BUILDING",HOIMA RD,1561,Human,Wakiso,Kampala Extra - Akamwesi
NESIGA PHARMACEUTICALS LTD,NDA/PRE/RTP/6397,Retail Pharmacy,\N,Central zone -Rushere,Kazo rd,1547,Veretinary,Kiruhura,South Western Region - Mbarara
TURQUOISE INTERNATIONAL HEALTHCARE LIMITED,NDA/PRE/RTP/6420,Retail Pharmacy,1016208449,"WITHIN NILE INTERNATIONAL HOSP. PLOT 2-16, WALUKUBA ZONE",SCOTT RD,1857,Human,Jinja,South Eastern Region - Jinja
BYDEN PHARMACY LIMITED,NDA/PRE/RTP/6421,Retail Pharmacy,\N,KWEBA VILLAGE MUTUNDWE,"KWEBA RD, NEAR KAMPALA UNIVERSITY",607,Human,Kampala,Kampala Extra - Akamwesi
DIVA UNIQUE PHARMACY COMPANY LTD,NDA/PRE/RTP/6423,Retail Pharmacy,\N,"KAKUMIRO T.C, OPP KAKUMIRO HCIV",HOIMA RD,1597,Human,Kakumiro,Western Region - Hoima
MUGESTAR PHARMACY LTD,NDA/PRE/RTP/6436,Retail Pharmacy,\N,"WAKISO MARKET, ROOM 3 OF 4, WAKISO T.C",ON MWAMI FESTO KIGOZI BUILDING,1349,Human,Wakiso,Kampala Extra - Akamwesi
